2         0.492469    0.424019    0.845556  0.795136      00:19     
3         0.528632    0.435847    0.846389  0.799565      00:18     
4         0.493415    0.447400    0.832778  0.800530      00:18     
5         0.474197    0.444327    0.837222  0.798764      00:18     
6         0.415898    0.453649    0.839167  0.808595      00:19     
7         0.422256    0.424025    0.850833  0.802355      00:18     
8         0.413753    0.457756    0.851111  0.804665      00:18     
9         0.387916    0.470870    0.850833  0.809236      00:19     
10        0.407472    0.444899    0.849444  0.809423      00:18     
11        0.354253    0.451040    0.845278  0.805040      00:19     
12        0.350382    0.450913    0.843056  0.806970      00:19     
13        0.341917    0.449888    0.845000  0.801565      00:18     
14        0.329482    0.454571    0.847222  0.807692      00:19     
15        0.331236    0.471037    0.843056  0.804160      00:18     
16        0.332067    0.466857    0.845833  0.803401      00:19     
17        0.313810    0.482730    0.845278  0.802832      00:19     
18        0.325647    0.469302    0.847500  0.801733      00:19     
19        0.343465    0.460970    0.846111  0.808039      00:17     
0         0.548876    0.462121    0.819167  0.774974      00:18     
1         0.521385    0.445478    0.831944  0.792737      00:19     
2         0.491667    0.433325    0.848056  0.805269      00:19     
3         0.528041    0.436589    0.839722  0.797757      00:17     
4         0.491240    0.443247    0.838056  0.793628      00:18     
5         0.474325    0.445982    0.834444  0.798240      00:18     
6         0.431569    0.455935    0.824167  0.796267      00:20     
7         0.425056    0.429660    0.853056  0.812743      00:18     
8         0.420166    0.460121    0.849444  0.806013      00:18     
9         0.401739    0.454537    0.844722  0.805835      00:19     
10        0.411185    0.460035    0.843611  0.806330      00:18     
11        0.358603    0.447996    0.851111  0.807194      00:18     
12        0.345994    0.472207    0.841667  0.805991      00:19     
13        0.339414    0.462354    0.844167  0.804462      00:18     
14        0.330894    0.462759    0.846944  0.803425      00:18     
15        0.344592    0.464976    0.848333  0.807746      00:18     
16        0.325020    0.473049    0.849722  0.807130      00:19     
17        0.315112    0.488053    0.849167  0.805027      00:19     
18        0.330111    0.476569    0.855556  0.809941      00:20     
19        0.346377    0.466053    0.840833  0.801799      00:17     
0         0.547391    0.459735    0.817222  0.767655      00:18     
1         0.518377    0.446154    0.831111  0.790634      00:19     
